aesthetic,related
Motomami,"['Alternative', 'Avant-garde', 'Biker', 'Bubblegum Dance', 'Cyberpunk', 'Choni', 'Flamenco', 'Grunge', 'Hip-Hop', 'Minivan Rock', 'Punk', 'Raxet', 'Reggaetonero']"
Mossy,"['Bloomcore', 'Cabincore', 'Changelingcore', 'Cottagecore', 'Crowcore', 'Cryptidcore', 'Dark Academia', 'Earthcore', 'Forestpunk', 'Witchcore', 'Witchy Academia', 'Tinycore', 'Groundcore']"
Mote Kei,"['Gyaru', 'Larme Kei']"
MS Paint,"['Pixel UI', 'So Retro', 'Furry', 'Weirdcore', 'Doodlecore']"
MTV Green Sky,"['Art Hoe', 'McBling', 'Minivan Rock', 'MTV 2 Overcast', 'Nu-Metal', 'Raver', 'Ultraviolet Crush', 'The Box 96', 'Total Afternoon Live', 'VSCO', 'Y2K', '2K1', '2K7']"
MTV 2 Overcast,"['Bleak Crush', 'Cheiron Crush', 'Cybercore', 'Grunge', 'Hip-Hop', 'McBling', 'MTV Green Sky', 'TGIF Crush', 'The WB Crush', 'Total Afternoon Live', 'Ultraviolet Crush', 'UrBling', '2K1', '2K5']"
Mud%C3%A9jar,"['Arabian Nights', 'Gothic', 'Italian Renaissance', 'Medieval', 'Romanesque', 'Spanish Golden Age']"
Mulchcore,['Goblincore']
Musical Academia,"['Alternative', 'Dark Academia', 'Grunge', 'Indie', 'Light Academia', 'Lo-Fi', 'Theatre Academia', 'Romantic Academia', 'Vaporwave']"
Mythpunk,"['Dark Fantasy', 'Fantasy', 'Fairy Tale', 'Dark Academia', 'Goth', 'Gothic', 'Forestpunk', 'Fairycore', 'Strega', 'Vampire', 'Werewolf', 'Dethereal', 'New Romantic']"
Nanchatte Seifuku,"['Animecore', 'High School Dream', 'Gyaru', 'Kogal', 'Preppy', 'Yandere', 'Nautical']"
Nanopunk,"['Biopunk', 'Cyberprep', 'Cyberpunk']"
Naturecore,"['Adventurecore', 'Bloomcore', 'Cabincore', 'Cottagecore', 'Dark Naturalism', 'Fairycore', 'Goblincore', 'Mori Kei', 'Neo-Celtic', 'Plant Mom', 'Pont-Aven School', 'Prairie', 'Vulture Culture', 'Warmcore']"
Nautical,"['Dark Nautical', 'Lounge', 'Ocean Grunge', 'Pirate', 'Poolcore', 'Preppy', 'Reefwave', 'Seapunk', 'Trenchcore', 'Tropical', 'Neo-Breton Style', 'Vacation Dadcore', 'VSCO', 'Selkiecore', 'Nanchatte Seifuku']"
Nautical Fantasy,"['Nautical', 'Fantasy', 'Mermaid', 'Selkiecore', 'Ocean Academia', 'Ocean Grunge', 'Dark Nautical', 'Dark Academia', 'Light Academia', 'Pirate', 'Seapunk', 'Oceanpunk', 'Steampunk']"
Nazi Chic,['Military']
Neon Noir,"['Cyberpunk', 'Synthwave', 'Film Noir']"
Necrotrap,"['Balkan Violence Tumblr', 'Drain', 'Edgy Meme', 'Emo', 'Gorecore', 'Grotesque', 'Hatecore', 'Hip-Hop', 'Larpercore', 'Paramilitary', 'Revcore', 'Sigilkore', 'Terrorwave', 'Violencecore']"
Neko,"['Animecore', 'Anime New Moon', 'Erokawa', 'Moe Swag', 'Sanriocore', 'Yume Kawaii']"
Neo Baroque,"['Rococo', 'Baroque', 'Classicism']"
Neoclassicism,"['Ancient Egypt', 'Hellenic', 'Modernisme', 'Noucentisme', 'Romanticism', 'Royalcore']"
Neo-Breton Style,"['Art Deco', 'Cubism', 'Mid-Century Modern', 'Modernism', 'Nautical', 'Neo-Celtic', 'Pont-Aven School', 'Seiz Breur']"
Neo-Celtic,"['Fairycore', 'Forestpunk', 'Halloween', 'Medieval', 'Naturecore', 'Neo-Breton Style', 'Neo-Romanism', 'Neo-Vikings', 'New Age', 'Northern Irish Muralism', 'Northerness', 'Pont-Aven School', 'Romanticism', 'Saint Patrick%27s Day', 'Selkiecore', 'Witchcore']"
Neo-Pop,"['Animecore', 'Camp', 'Cubism', 'Internet Awesomesauce', 'Modernism', 'Nouveau R%C3%A9alisme', 'Pop Art', 'Superflat Pop', 'Surrealism', 'Vaporwave']"
Neo-Romanism,"['Hellenic', 'Bronzepunk', 'Sandalpunk', 'Cyberpunk', 'Steampunk', 'Dieselpunk', 'Biopunk', 'Nanopunk', 'Decopunk', 'Atompunk', 'Teslapunk', 'Clockpunk', 'Mythpunk', 'Stonepunk', 'Neo-Vikings', 'Classicism', 'Dionysism', 'Classic Academia', 'Art Academia', 'Studyplace', 'Vaporwave', 'Sovietwave', 'Lovecore', 'Poetcore', 'Science Academia', 'Military', 'Post-Apocalyptic', 'Neo-Celtic', 'Neo-Vikings']"
Neo-Tokyo,"['Afrofuturism', 'Biopunk', 'Cyberpunk', 'Animecore', 'Itasha', 'Synthwave', 'Retro-Futurism', 'Atompunk', 'Visual Pollution']"
Neo-Tribal,"['Acid Design', 'Chromecore', 'Cyberpunk', 'Dark Y2K', 'Deathcore', 'Devilcore', 'Grunge', 'Krushclub', 'Metal', 'Metalheart', 'Mizuiro', 'Sextrance', 'Sigilkore', 'Wixa', 'Xpiritualism']"
Neo-Vikings,"['Neo-Romanism', 'Lunarpunk', 'Neo-Celtic', 'Viking']"
Nerd,"['Animecore', 'Art Academia', 'Cartooncore', 'Chaotic Academia', 'Cyberprep', 'Cyberpunk', 'English Major', 'Game Night', 'Geek', 'Nerdcore', 'Nintencore', 'Spacecore', 'Steampunk', 'Studyblr', 'Web Creep', 'Writer Academia']"
Nerdcore,"['Trillwave', 'Hip-Hop', 'Animecore', 'Nostalgiacore', 'Moe Swag', 'Nintencore', 'Gamercore', 'Cybercore']"
Neubrutalism,"['Acid Design', 'Bauhaus', 'Corporate Memphis', 'Cybercore', 'De Stijl', 'Gen X Soft Club', 'Glassmorphism', 'Flat Design', 'Memphis Design', 'Minimalism', 'Neumorphism', 'Superflat Pop', 'Vaporwave']"
Neumorphism,"['Frutiger Aero', 'Flat Design', 'Glassmorphism', 'Neubrutalism', 'Skeuomorphism']"
New Age,"['Adventurecore', 'Earthcore', 'Forestpunk', 'Goblincore', 'Hermaphroditus', 'Hippie', 'Naturecore', 'Neo-Celtic', 'Rainbowcore', 'Spacecore', 'Tranquil Spa Graphics', 'Utopian Scholastic', 'Vaporwave', 'Witchcore']"
New England,"['Americana', 'Nautical', 'New England Gothic']"
New England Gothic,"['Coffinwood', 'Dark Naturalism', 'Dark Nautical', 'Gothic', 'American Gothic', 'Midwest Gothic', 'Regional Gothic', 'Romanticism', 'Southern Gothic']"
New Figuration,"['Expressionism', 'Cubism', 'Dau al Set', 'Figuration Narrative', 'Nouveau R%C3%A9alisme']"
New Money,"['Luxury', 'Haute Couture', 'Grifes', 'Boujee', 'Pijo', 'Playboy', 'Italian Mafia', 'Snow Bunny', 'Bohemian']"
New Romantic,"['New Wave', 'Post-Punk', 'Cyberpunk', 'Rococo', 'Visual Kei', 'Glam Rock', 'City Pop', 'Hallyu', 'Vaporwave', 'Synthwave', 'Trad Goth', 'Deathrock', 'Goth', 'Club Kids', 'Film Noir', 'Disco', 'Mythpunk', 'Memphis Design', 'Las Movidas']"
New Spanish Catholic Girl,"['Baroque', 'Christian Girl Autumn', 'Coquette', 'Cottagecore', 'Dark Academia', 'French It Girl', 'Scandi Girl Winter', 'Spanish Golden Age', 'Tomato Girl Summer', 'Winter Fairy Coquette']"
New Wave,"['2 Tone', 'Bakala', 'Belgian New Beat', 'Club Kids', 'Deathrock', 'Glam Rock', 'Goth', 'Indie', 'Memphis Design', 'Mod', 'New Romantic', 'Las Movidas', 'Post-Punk', 'Punk', 'Synthwave', 'Vaporwave']"
Night Luxe,"['Boujee', 'Glam Girl', 'Baddie', 'That Girl']"
Nintencore,"['Cybercore', 'Cyberdelic', 'Gamercore', 'Kawaii Gamer', 'Nostalgiacore', 'OtoMAD', 'Sega Uranus', 'So Retro']"
Normcore,"['Quality Tumblr', 'Foodie', 'Raxet', 'Vacation Dadcore', 'VSCO']"
Northern Irish Muralism,"['Balkan Violence Tumblr', 'Military', 'Neo-Celtic', 'Paramilitary', 'Terrorwave']"
Northerness,"['Adventurecore', 'Cabincore', 'Cottagecore', 'Crowcore', 'Dark Naturalism', 'Dark Paradise', 'Forestpunk', 'Naturecore', 'Neo-Celtic', 'Rainy Day', 'Vulture Culture', 'Selkiecore']"
Nostalgiacore,"['Americana', 'Animecore', 'Back-to-School', 'Blingeecore', 'Bubblegum Dance', 'Cartooncore', 'Cyberdelic', 'Dreamcore', 'Glowwave', 'Gra%C5%BCynacore', 'Hauntology', 'High School Dream', 'Imaginarium', 'Kidcore', 'Late 2000s Elementary School', 'McBling', 'Milipili', 'Nintencore', 'Ligne Claire', 'Rainbowcore', 'Sextrance', 'So Retro', 'Synthwave', 'Teenage Dream', 'Tweencore', 'Vaporwave', 'Webcore']"
Noucentisme,"['Hellenic', 'Neoclassicism', 'Realism', 'Romantic Italian']"
Nouveau R%C3%A9alisme,"['Avant-garde', 'Expressionism', 'Figuration Narrative', 'Neo-Pop', 'New Figuration', 'Pop Art', 'Realism', 'Surrealism', 'Trashcore', 'Urbancore']"
Nuclear,"['Post-Apocalyptic', 'Slimepunk', 'Paramilitary', 'Military', 'Atompunk']"
Nu-Goth,"['E-Girl', 'Goth', 'Gothcore', 'Health Goth', 'Hipster', 'Hot Topic', 'Nu-Metal', 'Pastel Goth', 'Soft Grunge', 'Trad Goth', 'Witch House']"
Nu-Metal,"['Afropunk', 'Alternative', 'Brutal Industrial', 'E-Boy', 'E-Girl', 'Emo', 'Goth', 'Grunge', 'Hair Metal', 'Halloween', 'High School Dream', 'Hip-Hop', 'Horror', 'Hot Topic', 'Juggalo', 'Mallgoth', 'Mallsoft', 'Metal', 'Metalcore', 'Metalheart', 'Cyber Grunge', 'Minivan Rock', 'MTV Green Sky', 'Nu-Goth', 'Ocean Grunge', 'Punk', 'Raver', 'Rivethead', 'Rock', 'Scene', 'Shibuya Punk', 'Skater', 'Trashy Raver', 'UrBling', 'Y2K']"
Nu-Punk,"['Folk Punk', 'Midwest Emo', 'Punk']"
Nymphet,"['Babygirl', 'Bubblegum Coquette', 'Chunyu', 'Coconut Girl', 'Coquette', 'Dark Nymphet', 'Softie', 'Waif', 'Winter Fairy Coquette', 'Cherry Emoji Twitter', 'Larme Kei', 'Kinderwhore']"
Ocean Academia,"['Ocean Grunge', 'Dark Academia']"
Ocean Grunge,"['After Hours', 'Bleak Crush', 'Dazecore', 'Foodie', 'Grunge', 'Liminal Space', 'Naturecore', 'Nautical', 'Nu-Metal', 'Pirate', 'Poolcore', 'Reefwave', 'Seapunk', 'Vaporwave', 'Witch House', 'Selkiecore']"
Oceanpunk,"['Nautical', 'Nautical Fantasy', 'Seapunk', 'Steampunk', 'Biopunk', 'Ocean Academia', 'Ocean Grunge', 'Pirate', 'Dark Nautical']"
Office Siren,"['Corporate', 'Femme Fatale']"
Offlinecore,"['Analog Horror', 'Cottagecore', 'Cryptidcore', 'Dark Academia']"
Olderbrothercore,"['Bro', 'Poster Gal', 'Skater', 'Teenpunk', 'Trashy Raver', 'UrBling']"
Old Hollywood,"['Art Deco', 'Greaser', 'Flapper', 'Femme Fatale', 'Hollywood Regency', 'Rockabilly']"
Old Meme,"['Captchacore', 'Dank Meme Voyage', 'Deep Fried Meme', 'Feralcore', 'Funwaacore', 'Internet Awesomesauce', 'MS Paint', 'Revcore', 'Sextrance', 'So Retro', 'Webcore', 'Weirdcore']"
Old Money,"['Cayetana', 'Preppy', 'Pijo', 'Dark Academia']"
Onii Kei,[]
Opium,"['Avant-garde', 'Goth', 'Gothic', 'Metal', 'Punk', 'Sigilkore', 'Urbancore', 'Vampire', 'Witch House']"
Oshare Kei,"['Decora', 'Fairy Kei', 'Harajuku Fashion', 'Pop Kei', 'Visual Kei', 'Scene']"
Otaku,"['Denpa', 'Itasha', 'Moe', 'Geek', 'Nerd', 'Nerdcore', 'Weeaboo', 'Wota']"
OtoMAD,"['2010s Internet', 'Animecore', 'Denpa', 'Gachimuchi', 'Gamercore', 'Nintencore', 'LOLcore', 'Neo-Pop', 'Weeaboo', 'Xpiritualism']"
Pachuco,[]
Pale Grunge,"['Cult Party Kei', 'E-Boy', 'E-Girl', 'Grunge', 'Traumacore', 'Sadpeople', '2014 Tumblr']"
Paleocore,"['Adventurecore', 'Cryptidcore', 'Cyberparadism', 'Junglecore', 'Prehistoric', 'Science Academia', 'Vulture Culture']"
Palewave,"['Normcore', 'Vaporwave']"
Paramilitary,"['Cyberpunk', 'Necrotrap', 'Northern Irish Muralism', 'Larpercore', 'Tacticool', 'Techwear']"
Party Animal,"['Belgian New Beat', 'Club', 'Club Kids', 'Bakala', 'Preppy', 'Drugcore', 'Raver', 'Las Movidas', 'Normcore', 'Cuddle Party', 'Bastardcore']"
Party Kei,"['Kawaii', 'Babycore', 'Kidcore', 'Fairy Kei', 'Pop Kei', 'Decora']"
Pastel Academia,"['Art Academia', 'Classic Academia', 'Fairy Academia', 'Happycore', 'Kawaii', 'Light Academia', 'Lolita', 'Romantic Academia', 'Studyblr', 'Studyplace', 'Theatre Academia', 'Vibrant Academia']"
Pastel Gore,"['2014 Tumblr', 'Cutecore', 'Daydreampunk', 'Dokukawaii', 'Fairy Kei', 'Furry', 'Gorecore', 'Grime Art', 'Gurokawa', 'Kimoicore', 'Meatcore', 'Medicalcore', 'Mind Murder', 'Pastel Goth', 'Pop Art', 'Traumacore', 'Yami Kawaii', 'Yandere', 'Weirdcore']"
Pastel Goth,"['Bohemian', 'Dual Kawaii', 'Goth', 'Gurokawa', 'Kawaii', 'Lolita', 'Nu-Goth', 'Yami Kawaii']"
Pastel Punk,"['Pastel Goth', 'Punk', 'Yume Kawaii', 'Unicorncore']"
Peach,"['Kawaii', 'Lo-Fi']"
Peaky Blinders,[]
Pearly,"['Angelcore', 'Boujee', 'Hellenic', 'Nautical', 'Pirate', 'Reefwave']"
PEEPS,"['E-Girl', 'Goth', 'Goth Punk', 'Gyaru', 'Jirai Kei', 'Tomboy', 'Yami Kawaii']"
Peoplehood,"['Art Hoe', 'Comfy/Cozy', 'Cottagecore', 'Foodie', 'Grandparentcore', 'Light Academia', 'Teenage Dream', 'Trenchcore']"
Petcore,['Kidcore']
Phony Bureaucracy,"['Analog Horror', 'Cryptidcore', 'Nuclear']"
Photorealism,"['Art Academia', 'Art Hoe', 'Avant-garde', 'Minimalism', 'Modernism', 'Pop Art', 'Precisionism', 'Realism']"
Picniccore,"['Art Hoe', 'Bloomcore', 'Cottagecore', 'Fairycore', 'Foodie', 'Grandparentcore', 'Honeycore', 'Naturecore', 'Lovecore']"
Pig in Jacuzzicore,"['Weirdcore', 'Cleancore']"
Pijo,"['Boujee', 'Cayetana', 'Chic Modernist', 'Dandy', 'Milipili', 'Metrosexual', 'New Money', 'Luxury', 'Old Money', 'Preppy']"
Pink Parisian,"['Angelcore', 'Bon Chic, Bon Genre', 'Coquette', 'Boujee', 'Chic Modernist', 'French Girly', 'Haussmann Paris', 'Pink Princess', 'Romanticism', 'Romantic Academia', 'Romantic Italian', 'Triple Chic', 'Wanderlust']"
Pink Pilates Princess,"['2014 Girly', 'Ballet Academia', 'Pink Princess', 'That Girl', 'Girly Girl', 'Dollette']"
Pink Princess,"['Pink Parisian', 'Princesscore', 'Rococo', 'Romantic Academia']"
Pin-up,"['Atompunk', 'Femme Fatale', 'Gachimuchi', 'Gamine', 'Lounge']"
Pirate,"['Adventurecore', 'Crowcore', 'Dark Nautical', 'Nautical', 'Reefwave']"
Pixelboard,"['2010s Internet', '8-Bit', 'Cyberspace Webrooms', 'Pixel Cutie', 'Pixelscape', 'Pixel UI', 'Wimmelbilderbuch']"
Pixel Cutie,"['Hyperpop', 'Kawaii', 'Lo-Fi', 'Pixelboard', 'Seapunk', 'Synthwave']"
Pixel Medieval Fantasy,"['Medieval Fantasy', 'Medieval', 'Arcadecore', 'Synthwave', 'Vaporwave', 'Nostalgiacore', 'Pixel UI', 'So Retro', 'Nintencore', 'Gamercore']"
Pixel UI,"['8-Bit', 'Lo-Fi', 'Memphis Lite', 'MS Paint', 'Nintencore', 'Nostalgiacore', 'Pixelboard', 'Pixelscape', 'Pixel Medieval Fantasy', 'So Retro']"
Pixelscape,"['Kidcore', 'Nostalgiacore', 'McBling', 'Pixel UI']"
Pixiecore,"['Cottagecore', 'Crowcore', 'Ethereal', 'Fairycore', 'Goblincore', 'Holosexual', 'Rainbowcore']"
Plaguecore,"['Crowcore', 'Dark Academia', 'Green Academia', 'Goth', 'Medicalcore', 'Steampunk', 'Vulture Culture']"
Plant Mom,"['Art Hoe', 'Bloomcore', 'Cottagecore', 'Earthcore', 'Naturecore', 'VSCO']"
Playboy,"['Baddie', 'Boujee', 'Casino', 'Femme Fatale', 'Luxury', 'New Money', 'Spy Fiction', 'Stripcore']"
Poetcore,"['Coffee House/Cafe', 'Indie', 'Romantic Academia', 'Writer Academia', 'Grunge', 'Witchcore', 'Witchy Academia', 'Cottagecore']"
Pokem%C3%B3n,"['Animecore', 'Alternative', 'Cani', 'Emo', 'Hip-Hop', 'Jejemon', 'Midwest Emo', 'Punk', 'Raver', 'Reggaetonero', 'Scene', 'Shamate', 'Urbancore', 'Weeaboo']"
Pont-Aven School,"['Cottagecore', 'Naturecore', 'Neo-Breton Style', 'Neo-Celtic', 'Post-Impressionism', 'Seiz Breur']"
Politicalwave,"['Balkan Violence Tumblr', 'Communist Chic', 'Heroic Realism', 'Hyperborean', 'Incel', 'Military', 'Nazi Chic', 'Larpercore', 'Paramilitary', 'Retro-Futurism', 'Socialist Realism', 'Sovietwave', 'Synthwave', 'Terrorwave', 'Vaporwave']"
Poolcore,"['Cleancore', 'Cybercore', 'Dreamy', 'Glowwave', 'Icepunk', 'Kidcore', 'Liminal Space', 'Lo-Fi', 'Minimalism', 'Mizuiro', 'Nostalgiacore', 'Ocean Grunge', 'Rainy Day', 'Reefwave', 'Seapunk', 'Summer', 'Tropical', 'Vacation Dadcore', 'Vaporwave', 'Weirdcore', 'Y2K', 'Dreamcore']"
Pop Art,"['Art Academia', 'Art Hoe', 'Avant-garde', 'Chicha', 'Figuration Narrative', 'Four Colors', 'Internet Awesomesauce', 'Memphis Design', 'Modernism', 'Neo-Pop', 'Nouveau R%C3%A9alisme', 'LOLcore', 'Pastel Gore', 'Precisionism', 'Superflat Pop', 'Y%C3%A9-y%C3%A9 Girl']"
Pop Kei,"['Fairy Kei', 'Decora', 'Kidcore', 'Oshare Kei', 'Party Kei']"
Poppare,"['Alternative', 'Britpop', 'Decora', 'Emo', 'Fairy Kei', 'Goth', 'Indie', 'Mod', 'Nautical', 'Shoegaze', 'Twee']"
Post-Apocalyptic,"['Cyberpunk', 'Doomer', 'Dullcore', 'Plaguecore', 'Salvagepunk', 'Soft Apocalypse', 'Retro-Futurism', 'Zombie Apocalypse']"
Post-Impressionism,"['Art Academia', 'Cubism', 'Expressionism', 'Impressionism', 'Modernism', 'Pont-Aven School']"
Post-Punk,"['Bakala', 'Deathrock', 'Doomer', 'Goth', 'Punk', 'Shoegaze', 'Trad Goth', 'Dreamy', 'Dark Academia', 'Las Movidas', 'Strega']"
Post-Rock,"['Punk', 'Emo', 'Goth', 'New Wave']"
Poster Gal,"['Olderbrothercore', 'Mallgoth', 'Nu-Metal', 'Y2K', 'Teenpunk', 'Animecore', 'Geek', 'Hands Up', 'Webcore']"
Powwow Step,[]
Prairie,"['Adventurecore', 'Americana', 'Bloomcore', 'Classic Lolita', 'Cottagecore', 'Craftcore', 'Naturecore']"
Precisionism,"['Aeropittura', 'Cubism', 'Italian Futurism', 'Minimalism', 'Modernism', 'Liminal Space', 'Photorealism', 'Pop Art', 'Purism', 'Urbancore']"
Prehistoric,"['Junglecore', 'Paleocore', 'Stonepunk']"
Preppy,"['Dandy', 'Nautical', 'Pijo', 'VSCO Preppy', 'Milipili']"
Pre-Raphaelite,"['Art Academia', 'Art Nouveau', 'Baroque', 'Classicism', 'Hellenic', 'Rococo']"
Pretty Preppy,"['Barbiecore', 'Basic Girl', 'Boujee', 'Bubblegum Bitch', 'High School Dream', 'Old Money', 'Preppy', 'Tweencore', 'VSCO', 'VSCO Preppy']"
Pride flags,[]
Princecore,"['Kingcore', 'Knightcore', 'Princesscore', 'Queencore', 'Rangercore', 'Royalcore', 'Ballet Academia', 'New Romantic', 'Lolita', 'Androgynous', 'Romantic Academia']"
Princesscore,"['Boujee', 'Dreamy', 'Ethereal', 'Fairy Tale', 'Girly Girl', 'Hime Lolita', 'Kingcore', 'Knightcore', 'Lolita', 'Old Money', 'Princecore', 'Queencore', 'Rococo', 'Romantic Academia', 'Royalcore', 'Sparklecore']"
Printcore,"['After Hours', 'Golden Hour', 'Dreamcore', 'Liminal Space', 'Frutiger Aero']"
Prisoncore,[]
Progressive Academia,[]
Proto-Flat Web,"['Y2K', 'Flat Design', 'Frutiger Metro', 'Webcore', 'Superflat Pop']"
Psychedelica,"['Acid Design', 'Acid Pixie', 'Acidwave', 'Alien', 'Belgian New Beat', 'Cartooncore', 'Chicha', 'Cyberdelic', 'Drugcore', 'Glowwave', 'Grime Art', 'Hippie', 'Icepunk', 'Imaginarium', 'Manguebeat', 'Rainbowcore', 'Raver', 'Seapunk', 'Slimepunk', 'Weirdcore']"
Psychonaut,[]
PSY-OP Girl,"['Cyberneticpunk', 'E-Girl', 'Military', 'Larpercore', 'Sigma', 'Waif']"
Punk,"['2 Tone', 'Basque Radical Rock', 'Belgian New Beat', 'Deathrock', 'Emo', 'Goth', 'New Wave', 'Post-Punk', 'Nu-Punk', 'Las Movidas', 'Rock', 'Afropunk', 'Communist Chic', 'Corporate Punk', 'Cyberpunk', 'Greaser', 'Goth', 'Goth Punk', 'Grunge', 'Hippie', 'Nanopunk', 'Nazi Chic', 'Pastel Punk', 'Pokem%C3%B3n', 'Skater', 'Tecktonik', 'Teenpunk']"
Purism,"['Art Academia', 'Cubism', 'Modernism', 'Precisionism', 'Suprematism']"
Quality Tumblr,"['Basic Girl', 'Normcore', 'VSCO']"
Queencore,"['Baddie', 'Hime Lolita', 'Kingcore', 'Knightcore', 'Princesscore', 'Princecore', 'Royalcore']"
Queer Academia,"['Writer Academia', 'Dark Academia', 'Romantic Academia']"
Queercore,"['Las Movidas', 'Punk']"
Queer Villainy,"['Camp', 'Cyberpunk', 'Pride flags', 'Queercore', 'Villaincore', 'Voidpunk', 'Y2K']"
R%26B,"['Baddie', 'Boujee', 'Cyberghetto', 'Disco', 'Hip-Hop', 'McBling', 'Shiny Suit 97', 'The Box 96', 'Ultraviolet Crush', 'Urbancore']"
Racaille,"['Baddie', 'Chav', 'Dresiarz', 'Hypebeast', 'Jersey Shore', 'Bombardier', 'Cani', 'Dizela%C5%A1i', 'Gopnik']"
Rage HD,"['Brutal Industrial', 'Chromecore', 'Fe%C3%ADsmo', 'Frutiger Aero', 'Glassmorphism', 'Nu-Metal', 'McBling', 'Rivethead', 'Skeuomorphism', 'Slam Pop', 'The WB Crush', 'Total Afternoon Live', 'UrBling', 'Y2K', '2K1', '2K7', '7 HD']"
Rainbowcore,"['Blingeecore', 'Cyberdelic', 'Cyberprep', 'Cyberpunk', 'Decora', 'Foodie', 'Glowwave', 'Holosexual', 'Icepunk', 'Imaginarium', 'Kidcore', 'Nostalgiacore', 'Scene', 'Seapunk', 'Slimepunk', 'Superflat Pop', 'Synthwave', 'Tiki', 'Tropical', 'Vaporwave', 'Webcore']"
Rainy Day,"['Adventurecore', 'After Hours', 'Anglo Gothic', 'Autumn', 'Comfy/Cozy', 'Dark Paradise', 'Dreamy', 'Dullcore', 'Gloomcore', 'Lo-Fi', 'Mizuiro', 'Naturecore', 'Northerness', 'Poolcore', 'Soggy', 'Spring', 'Summer', 'Tropical']"
Randumb,"['Arabfunny', 'Blingeecore', 'Emo', 'Scene', 'Xpiritualism']"
Rangercore,"['Adventurecore', 'Forestpunk', 'Kingcore', 'Knightcore', 'Naturecore', 'Princecore', 'Princesscore', 'Queencore', 'Royalcore']"
Ravencore,"['Crowcore', 'Goblincore', 'Cottagecore', 'Witchcore', 'Naturecore', 'Dark Academia']"
Raver,"['Acid Design', 'Anime New Moon', 'Artcore', 'Bakala', 'Belgian New Beat', 'Blingeecore', 'Bodikon', 'Breakcore', 'Bubblegum Dance', 'Club', 'Cybercore', 'Cyberdelic', 'Cybergoth', 'Cyberpop', 'Cyberprep', 'Cyberpunk', 'Denpa', 'Furry', 'Gabber', 'Glowwave', 'Hands Up', 'Krushclub', 'Manguebeat', 'Milipili', 'Pokem%C3%B3n', 'Psychedelica', 'Scene', 'Seapunk', 'Sextrance', 'Shibuya Punk', 'Synthwave', 'Technoneko2000', 'Tecktonik', 'Trashy Raver', 'Tropical Disco', 'Wixa']"
Raxet,"['Ah Beng', 'Bondage', 'Cagole', 'Cani', 'Chav', 'Choni', 'Gyaru', 'Hip-Hop', 'Motomami', 'Normcore', 'Reggaetonero', 'Urbancore']"
Raygun Gothic,"['Art Deco', 'Atompunk', 'Cassette Futurism', 'Cyberpop', 'Cybervillain', 'Dieselpunk', 'Diner', 'Lounge', 'Psychedelica', 'Retro-Futurism', 'Rocketpunk', 'Surrealism']"
Real Life Super Hero,"['Heroic Realism', 'Kidcore']"
Realism,"['Art Academia', 'Heroic Realism', 'Noucentisme', 'Nouveau R%C3%A9alisme', 'Photorealism', 'Socialist Realism']"
Rebel Academia,"['Chaotic Academia', 'Darkest Academia', 'Bastardcore', 'Horror Academia']"
Red Academia,"['Art Academia', 'Dark Academia', 'Royalcore', 'Theatre Academia']"
Reefwave,"['Earthcore', 'Glowwave', 'Helvetica Aqua Aero', 'Nautical', 'Ocean Grunge', 'Poolcore', 'Seapunk']"
Regency,"['Classicism', 'Dandy', 'Hollywood Regency', 'Light Academia', 'Neoclassicism', 'Rococo', 'Romantic Academia', 'Victorian']"
Reggaetonero,"['Bombardier', 'Cani', 'Gangsta Rap', 'Hip-Hop', 'Motomami', 'Pokem%C3%B3n', 'Raxet', 'Urbancore']"
Regional Gothic,"['American Gothic', 'Anglo Gothic', 'Coffinwood', 'Gothic', 'Midwest Gothic', 'New England Gothic', 'Southern Gothic', 'Suburban Gothic', 'Appalachian Gothic']"
Renewable Corporate Futurism,"['Abstract Tech', 'Bright Tertiaries', 'Cleancore', 'Corporate', 'Cyberparadism', 'DORFic', 'Flat Design', 'Frutiger Aero', 'Frutiger Eco', 'Gen X Soft Club', 'Solarpunk']"
Retro Fairycore,"['Drain', 'Fairycore', 'Fairy Kei', 'Grunge', 'Lilac Femme', 'Tweencore', 'Yume Kawaii']"
Retro-Futurism,"['Acid Design', 'Aeropittura', 'Art Deco', 'Atompunk', 'Cybercore', 'Cyberpop', 'Cyberpunk', 'Decopunk', 'Dieselpunk', 'Hydrogen', 'Nostalgiacore', 'Raygun Gothic', 'Rocketpunk', 'Steampunk', 'Synthwave', 'Vaporwave', 'Visual Pollution']"
Revcore,"['Bastardcore', 'Gorecore', 'Grotesque', 'Horror', 'Meatcore', 'Necrotrap', 'Violencecore']"
Revengecore,"['Emo', 'Goth Punk', 'Villaincore', 'Traumacore', 'Sadpeople']"
Riotwave,"['Scrapper', 'Gangsta Rap', 'Urbancore', 'Prisoncore', 'Paramilitary', 'Japanese New Left']"
Rivethead,"['Brutal Industrial', 'Cybergoth', 'Cyberpunk', 'Emo', 'Gabber', 'Goth', 'Grunge', 'Mallgoth', 'Metal', 'Military', 'New Romantic', 'Nu-Metal', 'Post-Apocalyptic', 'Post-Punk', 'Punk', 'Rock', 'Steampunk', 'Witch House', 'Wixa']"
Roaring 20s,"['Americana', 'Art Deco', 'Dark Gatsby', 'Dieselpunk', 'Electro Swing', 'Flapper', 'Italian Mafia']"
Robotcore,"['Abstract Tech', 'Cybercore', 'Hexatron', 'Vaporwave', 'Frutiger Aero', 'Voidpunk']"
